PlayerId	Team	Since	Till
80	Destined For Glory	2016-05-25	2023-11-19
80	GG Academy	2019-12-04	2020
83	CPH Flames	2019-01-06	2021
84	MNM Gaming	2015-03-21	2023-11-19
84	Excel	2015-03-21	2023-11-19
84	Riot Games Inc.	2016-05-08	2023-11-19
85	Riot Games Inc.	2021-01-05	2023-11-19
90	LCK	2017-08-26	2019
90	Riot Games Inc.	2019-01-16	2023-11-19
91	LMS	2019-09-25	2023-11-19
91	PCS	2020-02-20	2020
91	J Team	2020-11-24	2023
91	PCS	2023-01-27	2023-11-19
93	Inside Games	2016-05-10	2016
93	Majestic Lions	2016-11-11	2023-11-19
93	eXtatus	2017-04-19	2018
93	NecroRaisers	2018-11-28	2023-11-19
93	Inaequalis	2018-11-02	2023-11-19
93	eXtatus	2019-02-13	2019
93	Rift Rats	2019-04-04	2019
93	BRUTE	2019-07-19	2023-11-19
93	Srdce nehasnou	2019-10-18	2019
93	BRUTE	2020-01-25	2023-11-19
97	Project Conquerors	2016-02-18	2016
97	E-corp Gentle	2016-08-03	2023-11-19
97	Beyond The Rift	2017-04-13	2017
97	Gentside	2017-11-05	2018
97	Solary	2018-05-04	2019
97	Vitality Academy	2019-01-08	2019
97	Vitality.Bee	2019-01-15	2020
97	O'Gaming TV	2020-01-24	2020
97	One Trick Production	2020-12-23	2023-11-19
97	Pique Sel	2022-01-02	2023-11-19
98	Omerix	2019-05-15	2019
98	Bastille Legacy	2020-01-24	2020
98	Team BDS	2020-05-13	2020
98	GameWard Academy	2021-01-22	2022
99	GamersOrigin Academy	2020-06-15	2021
99	GamersOrigin	2020-07-27	2020
99	GamersOrigin	2021-01-11	2021
99	Team MCES	2021-12-20	2023-11-19
100	Project Conquerors		2023-11-19
100	GrosBill Esport	2016-07-20	2023-11-19
100	Royal Bandits	2017-07-19	2023-11-19
100	ArmaTeam	2017-11-12	2023-11-19
100	Dropz Esports	2019-01-03	2023-11-19
100	Unfazed Esport	2019-03-31	2019
100	One Trick Production	2021-01-07	2023-11-19
102	CC Clockwise	2014-04-13	2014
102	Tricked Esport	2014-05-09	2023-11-19
102	Crvena zvezda	2017-12-07	2023-11-19
102	Zero Tenacity	2022-07-15	2022
103	Crvena zvezda		2023-11-19
105	Retric eSports	2019-04-27	2019
105	Dejice	2019-09-21	2020
105	Team Genji	2020-01-01	2020
105	SLR	2020-12-19	2021
105	TP Community	2021-05-24	2021
106	Laughing Coffins	2017-07-07	2017
106	Dawn of Stars	2018-01-01	2018
106	Different Dimension	2018-05-28	2018
106	Dawn of Stars	2018-06-20	2019
106	Barrage	2019-09-26	2019
106	We Love Gaming	2019-10-12	2020
106	We Love Gaming	2020-05-22	2020
106	NVision Esports	2020-10-06	2020
